object_property_label,owl_inverseOf,rdfs_domain,rdfs_range,cco_definition,cco_elucidation,skos_definition,skos_example,object_property_uri,rdf_type,rdfs_subPropertyOf
interval disjoint,,one-dimensional temporal region,one-dimensional temporal region,"A Temporal Interval INT1 is disjoint with a Temporal Interval INT2 iff INT1 is before or meets INT2 OR INT2 is before or meets INT1. In other words, INT1 and INT2 are disjoint iff INT1 and INT2 do not overlap, contain, or equal one another.",,,,cco:interval_disjoint,owl:ObjectProperty,
inheres in aggregate,,[ rdf:type owl:Class ; owl:unionOf ( specifically dependent continuant generically dependent continuant ) ],object aggregate,"x inheres_in_aggregate y iff x is an instance of Specifically Dependent Continuant and y is an instance of Object Aggregate and z is an instance of Object, such that z bearer_of x, and all other members of y are bearers of a unique instance of the same type as x.",,,,cco:inheres_in_aggregate,owl:ObjectProperty,
interval meets,interval met by,one-dimensional temporal region,one-dimensional temporal region,A Temporal Interval INT1 meets some Temporal Interval INT2 iff there exists some Temporal Instant inst1 such that inst1 is the ending instant of INT1 and inst1 is the starting instant of INT2.,,,,cco:interval_meets,owl:ObjectProperty; owl:IrreflexiveProperty,interval disjoint
has process part,is part of process,process,process,"x has_process_part y iff x and y are instances of Process, such that y occurs during the temporal interval of x, and y either provides an input to x or receives an output of x, or both.",,,,cco:has_process_part,owl:ObjectProperty,has occurrent part
has accomplice,,process,material entity,"A Processual Entity p1 has_accomplice some agent a1 iff a1 assists in the commission of p1, is located at the location of p1, but is not agent_in p1.",,,,cco:has_accomplice,owl:ObjectProperty,has participant
is parent of,,cco:Person,cco:Person,,,,,cco:is_parent_of,owl:ObjectProperty,has familial relationship to
has realization,realizes,realizable entity,process,,,b has realization c =Def c realizes b,As for realizes,obo:BFO_0000054,owl:ObjectProperty,
occurs at,,process,site,"x occurs_at y iff x is an instance of Process and y is an instance of Site, such that x occurs in y.",,,,cco:occurs_at,owl:ObjectProperty,occurs in
uses,,,,"x uses y iff x is an instance of an Agent and y is an instance of a Material Entity, such that both x and y participate in some instance of a Process wherein x attempts to accomplish a goal by manipulating, deploying, or leveraging some attribute of y.",,,,cco:uses,owl:ObjectProperty,
interval starts,,one-dimensional temporal region,one-dimensional temporal region,"A Temporal Interval INT1 starts some Temporal Interval INT2 iff there exist Temporal Instants inst1, inst2, and inst3 such that inst1 is the starting instant of both INT1 and INT2, inst2 is the ending instant of INT1, inst3 is the ending instant of INT2 and inst2 is before inst3.",,,,cco:interval_starts,owl:ObjectProperty,interval contained by
represents,,cco:RepresentationalInformationContentEntity,,"x represents y iff x is an instance of Information Content Entity, y is an instance of Entity, and z is carrier of x, such that x is about y in virtue of there existing an isomorphism between characteristics of z and y.","The relationship that is being defined here is that between the content of a photographic image and its object, between the content of a video and its objects and events, between the content of an audio recording and the sounds or events generating those sounds, or between the content of a written transcript and the verbal event that it transcribes.",,,cco:represents,owl:ObjectProperty,is about
is interest of,,process,cco:Agent,The inverse of has_interest_in. ,,,,cco:is_interest_of,owl:ObjectProperty,
has accessory,,process,material entity,"x has_accessory y iff x is an instance of Process and y is an instance of Agent, such that y assists another agent in the commission of x, and y was not located at the location of x when x occurred, and y was not an agent_in x.",,,,cco:has_accessory,owl:ObjectProperty,has participant
aggregate has role,,object aggregate,role,"x aggregate_has_role y iff x is an instance of Object Aggregate and y is an instance of Role, such that x aggregate_bearer_of y.",,,,cco:aggregate_has_role,owl:ObjectProperty,aggregate bearer of
nontangential part of,,immaterial entity,immaterial entity,An immaterial entity im1 is a nontangential part of some immaterial entity im2 iff im1 is a spatial part of im2 and there does not exist an immaterial entity im3 such that im3 externally connects with im1 and im3 externally connects with im2.,,,,cco:nontangential_part_of,owl:ObjectProperty,spatial part of
sends,,cco:Agent,,"x sends y iff x is an instance of Agent and y is an instance of Act Of Communication, such that x is the initiator and encoder of the InformationContentEntity intended for communication in y.",,,,cco:sends,owl:ObjectProperty,participates in
has input,is input of,process,continuant,"y has_input x iff x is an instance of Continuant and y is an instance of Process, such that the presence of x at the beginning of y is a necessary condition for the start of y.",,,,cco:has_input,owl:ObjectProperty,has participant
is reference system of,uses reference system,cco:ReferenceSystem,cco:InformationBearingEntity,"x is_reference_system_of y iff y is an instance of Information Bearing Entity and x is an instance of Reference System, such that x describes the set of standards mentioned in y.",,,,cco:is_reference_system_of,owl:ObjectProperty,generically depends on
spatially projects onto,,spatiotemporal region,spatial region,,,"(Elucidation) spatially projects onto is a relation between some spatiotemporal region b and spatial region c such that at some time t, c is the spatial extent of b at t",,obo:BFO_0000216,owl:ObjectProperty,
has object,is object of,,,"If p is a process and c is a continuant, then p has object c if and only if the c is part of the projected state that the agent intends to achieve by performing p.",,,,cco:has_object,owl:ObjectProperty,has participant
described by,describes,,cco:DescriptiveInformationContentEntity,"x described_by y iff y is an instance of Information Content Entity, and x is an instance of Entity, such that y is about the characteristics by which y can be recognized or visualized.",,,,cco:described_by,owl:ObjectProperty,is subject of
has inside instant,is inside instant of,one-dimensional temporal region,zero-dimensional temporal region,"For Temporal Interval t1 and Temporal Instant t2, t1 has inside instant t2 if and only if there exists Temporal Instants t3 and t4 that are part of t1 and non-identical with t2, such that t3 is before t2 and t4 is after t2.",,,,cco:has_inside_instant,owl:ObjectProperty,
coincides with,,immaterial entity,immaterial entity,An immaterial entity im1 coincides with some immaterial entity im2 iff im1 is a spatial part of im2 and im2 is a spatial part of im1.,,,,cco:coincides_with,owl:ObjectProperty,connected with
is affected by,,continuant,process,"c is_affected_by p iff p is an instance of a Process and c is an instance of a Continuant, such that p influences c in some manner, most often by producing a change in c.",,,,cco:is_affected_by,owl:ObjectProperty,participates in
is successor of,,independent continuant,independent continuant,A continuant c2 is a successor of some continuant c1 iff there is some process p1 and c1 is an input to p1 and c2 is an output of p1. Inverse of is predecessor. ,,,,cco:is_successor_of,owl:ObjectProperty,
is required by,requires,process,cco:ActionRegulation,"y is_required_by x at t iff: x is an instance of Action Regulation at time t, and y is an instance of Act at time t, and x prescribes that some agent must be agent in y.",,,,cco:is_required_by,owl:ObjectProperty,prescribed by
is a ratio measurement of,is measured by ratio,cco:RatioMeasurementInformationContentEntity,,"x is_a_ratio_measurement_of y iff x is an instance of Information Content Entity and y is an instance of Entity, such that x describes some attribute of y relative to a scale having equal unit values and a zero value that corresponds to the absence of the attribute being measured.",,,,cco:is_a_ratio_measurement_of,owl:ObjectProperty,is a measurement of
is cause of,,occurrent,occurrent,"x is_cause_of y iff x and y are instances of occurrents, and y is a consequence of x.",,,,cco:is_cause_of,owl:ObjectProperty,
continuant part of,has continuant part,continuant,continuant,,,b continuant part of c =Def b and c are continuants & there is some time t such that b and c exist at t & b continuant part of c at t,Milk teeth continuant part of human; surgically removed tumour continuant part of organism,obo:BFO_0000176,owl:ObjectProperty,
is child of,is parent of,,,,,,,cco:is_child_of,owl:ObjectProperty,has familial relationship to
prescribed by,prescribes,,cco:DirectiveInformationContentEntity,"x prescribed_by y iff y is an instance of Information Content Entity and x is an instance of Entity, such that y serves as a rule or guide for x if x is an Occurrent, or y serves as a model for x if x is a Continuant.",,,,cco:prescribed_by,owl:ObjectProperty,is subject of
requires,,cco:ActionRegulation,process,"x requires y at t iff: x is an instance of Action Regulation at time t, and y is an instance of Act at time t, and x prescribes that some agent must be agent in y.",,,,cco:requires,owl:ObjectProperty,prescribes
capability of aggregate,,cco:AgentCapability,cco:GroupOfAgents,"x capability_of_aggregate y iff y is an instance of Object Aggregate and x is an instance of Agent Capability, such that x inheres in aggregate y.",,,,cco:capability_of_aggregate,owl:ObjectProperty,inheres in aggregate
history of,has history,history,material entity,,,(Elucidation) history of is a relation between history b and material entity c such that b is the unique history of c,This life is the history of this organism,obo:BFO_0000184,owl:ObjectProperty; owl:FunctionalProperty; owl:InverseFunctionalProperty,
exists at,,entity,temporal region,,,(Elucidation) exists at is a relation between a particular and some temporal region at which the particular exists,"First World War exists at 1914-1916; Mexico exists at January 1, 2000",obo:BFO_0000108,owl:ObjectProperty,
precedes,,occurrent,occurrent,,,"(Elucidation) precedes is a relation between occurrents o, o' such that if t is the temporal extent of o & t' is the temporal extent of o' then either the last instant of o is before the first instant of o' or the last instant of o is the first instant of o' & neither o nor o' are temporal instants",The temporal region occupied by Mary's birth precedes the temporal region occupied by Mary's death.,obo:BFO_0000063,owl:TransitiveProperty; owl:ObjectProperty,
is a interval measurement of,is measured by interval,cco:IntervalMeasurementInformationContentEntity,,"x is_a_interval_measurement_of y iff x is an instance of Information Content Entity and y is an instance of Entity, such that x describes some attribute of y relative to a scale which has uniform intervals but has a zero value that does not correspond to an absence of the attribute being measured.",,,,cco:is_a_interval_measurement_of,owl:ObjectProperty,is a measurement of
is part of process,,process,process,"x is_part_of_process y iff x and y are instances of Process, such that x occurs during the temporal interval of y, and x either provides an input to y or receives an output of y.",,,,cco:is_part_of_process,owl:ObjectProperty,occurrent part of
role of aggregate,,role,object aggregate,"x role_of_aggregate y iff y is an instance of Object Aggregate and x is an instance of Role, such that x disposition_of_aggregate y.",,,,cco:role_of_aggregate,owl:ObjectProperty,inheres in aggregate
first instant of,has first instant,temporal instant,temporal region,,,t first instant of t' =Def t is a temporal instant & t' is a temporal region t' & t precedes all temporal parts of t' other than t,An hour starting at midnight yesterday has first instant midnight yesterday,obo:BFO_0000221,owl:ObjectProperty,
aggregate has quality,,object aggregate,quality,"x aggregate_has_quality y iff x is an instance of Object Aggregate and y is an instance of Quality, such that x aggregate_bearer_of y.",,,,cco:aggregate_has_quality,owl:ObjectProperty,aggregate bearer of
has tangential part,tangential part of,immaterial entity,immaterial entity,"x has_tangential_part y iff x, y, and z are instances of Immaterial Entity, and x has_spatial_part y, such that z externally connects with both x and y.",,,,cco:has_tangential_part,owl:ObjectProperty,has spatial part
interval contained by,interval contains,one-dimensional temporal region,one-dimensional temporal region,"A Temporal Interval INT1 is contained by some Temporal Interval INT2 iff there exist Temporal Instants inst1, inst2, inst3, and inst4 such that inst1 is the starting instant of INT1, inst2 is the ending instant of INT1, inst3 is the starting instant of INT2, inst4 is the ending instant of INT2, inst3 is before or identical to inst1, inst2 is before or identical to inst4, and it is not the case that both inst3 is identical to inst1 and inst2 is identical to inst4.",,,,cco:interval_contained_by,owl:ObjectProperty,
is material of,,object,object,An object m is material of an object o when m is the material of which o consists and that material does not undergo a change of kind during the creation of o,,,,cco:is_material_of,owl:ObjectProperty,
is descendent of,,,,,,,,cco:is_descendent_of,owl:ObjectProperty,has familial relationship to
is input of,,continuant,process,"x is_input_of y iff x is an instance of Continuant and y is an instance of Process, such that the presence of x at the beginning of y is a necessary condition for the start of y.",,,,cco:is_input_of,owl:ObjectProperty,participates in
location of,located in,[ owl:intersectionOf ( independent continuant [ rdf:type owl:Class ; owl:complementOf spatial region ] ) ; rdf:type owl:Class ],[ owl:intersectionOf ( independent continuant [ rdf:type owl:Class ; owl:complementOf spatial region ] ) ; rdf:type owl:Class ],,,b location of c =Def c located in b,,obo:BFO_0000124,owl:ObjectProperty,
is a measurement of,is measured by,cco:MeasurementInformationContentEntity,,"x is_a_measurement_of y iff x is an instance of Information Content Entity and y is an instance of Entity, such that x describes some attribute of y relative to some scale or classification scheme.",,,,cco:is_a_measurement_of,owl:ObjectProperty,describes
has continuant part,,continuant,continuant,,,b has continuant part c =Def c continuant part of b,,obo:BFO_0000178,owl:ObjectProperty,
is prohibited by,prohibits,process,cco:ActionRegulation,"y is_prohibited_by y at t iff: x is an instance of Action Regulation at time t, and y is an instance of Act at time t, and x prescribes that some agent must not be agent in y.",,,,cco:is_prohibited_by,owl:ObjectProperty,prescribed by
is about,is subject of,cco:InformationContentEntity,entity,A primitive relationship between an Information Content Entity and some Entity.,,,,cco:is_about,owl:ObjectProperty,
supervises,,cco:Person,cco:Person,"A person p1 supervises a person p2 by virtue of p1 directing, managing, or overseeing p2.",,,,cco:supervises,owl:ObjectProperty,has affiliate
has parent,is parent of,,,,,,,cco:has_parent,owl:ObjectProperty,has familial relationship to
agent in,has agent,,,"x agent_in y iff y is an instance of Process and x is an instance of Agent, such that x is causally active in y.",,,,cco:agent_in,owl:ObjectProperty,participates in
describes,,cco:DescriptiveInformationContentEntity,,"x describes y iff x is an instance of Information Content Entity, and y is an instance of Entity, such that x is about the characteristics by which y can be recognized or visualized.",,,,cco:describes,owl:ObjectProperty,is about
quality of aggregate,,quality,object aggregate,"x quality_of_aggregate y iff y is an instance of Object Aggregate and x is an instance of Quality, such that x disposition_of_aggregate y.",,,,cco:quality_of_aggregate,owl:ObjectProperty,inheres in aggregate
disconnected with,,immaterial entity,immaterial entity,An immaterial entity im1 is disconnected with some immaterial entity im2 iff there does not exist some immaterial entity im3 that is common to both im1 and im2.,,,,cco:disconnected_with,owl:ObjectProperty,
is used by,uses,,,"x is_used_by y iff y is an instance of an Agent and x is an instance of a Material Entity, such that both x and y participate in some instance of a Process wherein y attempts to accomplish a goal by manipulating, deploying, leveraging some attribute of y.",,,,cco:is_used_by,owl:ObjectProperty,
bearer of,inheres in,[ owl:intersectionOf ( independent continuant [ rdf:type owl:Class ; owl:complementOf spatial region ] ) ; rdf:type owl:Class ],specifically dependent continuant,,,b bearer of c =Def c inheres in b,A patch of ink is the bearer of a colour quality; an organism is the bearer of a temperature quality,obo:BFO_0000196,owl:ObjectProperty,specifically depended on by
uses geospatial coordinate reference system,,cco:InformationBearingEntity,cco:GeospatialCoordinateReferenceSystem,"y uses_geospatial_coordinate_reference_system x iff y is an instance of Information Bearing Entity and x is an instance of Geospatial Coordinate Reference System, such that x describes the set of standards mentioned in y.",,,,cco:uses_geospatial_coordinate_reference_system,owl:ObjectProperty,uses reference system
is mention of,is mentioned by,,,"x is_mention_of y iff x is an instance Information Bearing Entity and y is an instance Entity, such that x is used as a reference to y.",,,,cco:is_mention_of,owl:ObjectProperty,
interval during,,one-dimensional temporal region,one-dimensional temporal region,"A Temporal Interval INT1 is during some Temporal Interval INT2 iff there exist Temporal Instants inst1, inst2, inst3, and inst4 such that inst1 is the starting instant of INT1, inst2 is the ending instant of INT1, inst3 is the starting instant of INT2, inst4 is the ending instant of INT2, inst3 is before inst1, and inst2 is before inst4.",,,,cco:interval_during,owl:ObjectProperty,interval contained by
interval finishes,,one-dimensional temporal region,one-dimensional temporal region,"A Temporal Interval INT1 finishes some Temporal Interval INT2 iff there exists Temporal Instants inst1, inst2, and inst3 such that inst 1 is the starting instant of INT1, inst2 is the ending instant of both INT1 and INT2, inst3 is the starting instant of INT2, and inst3 is before inst1.",,,,cco:interval_finishes,owl:ObjectProperty,interval contained by
concretizes,,[ rdf:type owl:Class ; owl:unionOf ( process specifically dependent continuant ) ],generically dependent continuant,,,b concretizes c =Def b is a process or a specifically dependent continuant & c is a generically dependent continuant & there is some time t such that c is the pattern or content which b shares at t with actual or potential copies,,obo:BFO_0000059,owl:ObjectProperty,
realizes,,process,realizable entity,,,"(Elucidation) realizes is a relation between a process b and realizable entity c such that c inheres in some d & for all t, if b has participant d then c exists & the type instantiated by b is correlated with the type instantiated by c",A balding process realizes a disposition to go bald; a studying process realizes a student role; a process of pumping blood realizes the pumping function of a heart,obo:BFO_0000055,owl:ObjectProperty,
is made of,is material of,object,object,An object o is made of an object m when m is the material that o consists of and that material does not undergo a change of kind during the creation of o,,,,cco:is_made_of,owl:ObjectProperty,owl:topObjectProperty
is subordinate role to,,role,role,"For all x,y,t: y is subordinate role to x at t iff: x is an instance of bfo:BFO_0000023 (Role) at time t, and y is an instance of bfo:BFO_0000023 (Role) at time t, and there is some z such that x is realized by z and z is an instance of Act which creates, modifies, transfers, or eliminates some u such that u is an Action Regulation at time t, and u is addressed to the bearer of y.",,,,cco:is_subordinate_role_to,owl:ObjectProperty,
has affiliate,is affiliated with,[ rdf:type owl:Class ; owl:unionOf ( cco:Agent cco:Organization cco:Person ) ],[ rdf:type owl:Class ; owl:unionOf ( cco:Agent cco:Organization cco:Person ) ],"x is_affiliated_with y iff x and y are instances of Agent, such that they have any kind of social or business relationship.",,,,cco:has_affiliate,owl:ObjectProperty,
aggregate bearer of,inheres in aggregate,object aggregate,[ rdf:type owl:Class ; owl:unionOf ( specifically dependent continuant generically dependent continuant ) ],"x aggregate_bearer_of y iff x is an instance of Object Aggregate and y is an instance of Specifically Dependent Continuant and z is an instance of Object, such that z bearer of y, and all other members of x are bearers of a unique instance of the same type as y.",,,,cco:aggregate_bearer_of,owl:ObjectProperty,
preceded by,precedes,occurrent,occurrent,,,b preceded by c =Def b precedes c,The temporal region occupied by the second half of the match is preceded by the temporal region occupied by the first half of the match,obo:BFO_0000062,owl:TransitiveProperty; owl:ObjectProperty,
disrupts,is disrupted by,process,process,A relation where one process disrupts another process from occurring as it would have.,"A process can disrupt another process from occurring as it would have by 1) preventing a disposition or role from being realized by that process, 2) lowering the grade of the process, or 3) stopping the process from continuing to occur.",,,cco:disrupts,owl:ObjectProperty,
has organizational context,is organizational context of,role,cco:Organization,"x has_organizational_context y iff y is an instance of an Organization and x is an instance of a Role and z is an instance of a Person, such that z's affiliation with y is a prerequisite for z bearing x or y ascribes x to the bearer of x.",,,,cco:has_organizational_context,owl:ObjectProperty,
caused by,is cause of,occurrent,occurrent,"x caused_by y iff x and y are instances of occurrents, and x is a consequence of y.",,,,cco:caused_by,owl:ObjectProperty,
is object of,,,,"If p is a process and c is a continuant, then c is object of p if and only if the c is part of the projected state that the agent intends to achieve by performing p.",,,,cco:is_object_of,owl:ObjectProperty,participates in
disposition of aggregate,,disposition,object aggregate,"x disposition_of_aggregate y iff y is an instance of Object Aggregate and x is an instance of Disposition, such that x disposition_of_aggregate y.",,,,cco:disposition_of_aggregate,owl:ObjectProperty,inheres in aggregate
has subordinate role,is subordinate role to,role,role,"For all x,y,t: x has subordinate role y at t iff: x is an instance of bfo:BFO_0000023 (Role) at time t, and y is an instance of bfo:BFO_0000023 (Role) at time t, and there is some z such that x is realized by z and z is an instance of Act which creates, modifies, transfers, or eliminates some u such that u is an Action Regulation at time t, and u is addressed to the bearer of y.",,,,cco:has_subordinate_role,owl:ObjectProperty,
is measured by ordinal,,,cco:OrdinalMeasurementInformationContentEntity,"y is_measured_by_ordinal x iff x is an instance of Information Content Entity and y is an instance of Entity, such that x describes some attribute of y relative to a scale ordered by rank.",,,,cco:is_measured_by_ordinal,owl:ObjectProperty,is measured by
is measured by interval,,,cco:IntervalMeasurementInformationContentEntity,"y is_measured_by_interval x iff x is an instance of Information Content Entity and y is an instance of Entity, such that x describes some attribute of y relative to a scale which has uniform intervals but has a zero value that does not correspond to an absence of the attribute being measured.",,,,cco:is_measured_by_interval,owl:ObjectProperty,is measured by
represented by,represents,,cco:RepresentationalInformationContentEntity,"y represented_by x iff x is an instance of Information Content Entity, and y is an instance of Entity, and z is carrier of x, such that x is about y in virtue of there existing an isomorphism between characteristics of z and y.",,,,cco:represented_by,owl:ObjectProperty,is subject of
